Classifier,Features,F1,AUC,Acc
LR,Text only (5),0.7067164179104478,0.742022509554289,0.6837022132796781
LR,Voice only (16),0.5327545382794001,0.5365695849614258,0.5235412474849095
LR,Cross-modal only (5),0.6386946386946387,0.6869595479909048,0.6257545271629779
LR,Voice + Cross-modal (21),0.6385306760453302,0.6868309887504171,0.6277665995975855
LR,All 26,0.7190422745978301,0.7480375237152841,0.6977867203219316
Gradient Boosting,Text only (5),0.7468305800998848,0.7914931441564631,0.7348088531187122
Gradient Boosting,Voice only (16),0.4564727108705458,0.5258228765324846,0.5150905432595574
Gradient Boosting,Cross-modal only (5),0.6694915254237288,0.7171690216382083,0.654728370221328
Gradient Boosting,Voice + Cross-modal (21),0.6640685892439595,0.7195149031325602,0.6531187122736418
Gradient Boosting,All 26,0.7457496136012365,0.7889959783033557,0.7352112676056338
XGBoost,Text only (5),0.7243539545810493,0.778542099255525,0.7167002012072434
XGBoost,Voice only (16),0.5276561878233187,0.5347126181543829,0.5223340040241449
XGBoost,Cross-modal only (5),0.668952380952381,0.701948062066843,0.6503018108651911
XGBoost,Voice + Cross-modal (21),0.6531091122409073,0.7002102398084338,0.6430583501006036
XGBoost,All 26,0.727061556329849,0.7717703386562054,0.716297786720322
Random Forest,Text only (5),0.7270588235294118,0.7806818314627315,0.7199195171026157
Random Forest,Voice only (16),0.4571678321678322,0.521990772303405,0.5002012072434607
Random Forest,Cross-modal only (5),0.6284792254941509,0.6837997826180117,0.6293762575452716
Random Forest,Voice + Cross-modal (21),0.6570397111913358,0.7206384979086398,0.6559356136820925
Random Forest,All 26,0.7325718786923986,0.7860163906538731,0.7267605633802817
