model,fold,accuracy,precision,recall,f1,roc_auc,test_male,test_female
Random Baseline,1,0.6833333333333333,0.8098290598290598,0.7895833333333333,0.79957805907173,0.5239583333333333,360,240
Random Baseline,2,0.6833333333333333,0.8098290598290598,0.7895833333333333,0.79957805907173,0.5239583333333333,240,360
Random Baseline,3,0.6833333333333333,0.8098290598290598,0.7895833333333333,0.79957805907173,0.5239583333333333,360,240
Random Baseline,4,0.6833333333333333,0.8098290598290598,0.7895833333333333,0.79957805907173,0.5239583333333333,240,360
Random Baseline,5,0.6979166666666666,0.8153034300791556,0.8046875,0.8099606815203145,0.5377604166666666,240,240
Logistic Regression,1,0.89,0.9559471365638766,0.9041666666666667,0.9293361884368309,0.950625,360,240
Logistic Regression,2,0.8933333333333333,0.9814814814814815,0.8833333333333333,0.9298245614035088,0.9709027777777778,240,360
Logistic Regression,3,0.8566666666666667,0.9539170506912442,0.8625,0.9059080962800875,0.9246527777777778,360,240
Logistic Regression,4,0.8666666666666667,0.9545454545454546,0.875,0.9130434782608695,0.9463888888888888,240,360
Logistic Regression,5,0.8666666666666667,0.9761904761904762,0.8541666666666666,0.9111111111111111,0.9428168402777779,240,240
SVM (Linear),1,0.8666666666666667,0.9629629629629629,0.8666666666666667,0.9122807017543859,0.9471527777777778,360,240
SVM (Linear),2,0.88,0.9811320754716981,0.8666666666666667,0.9203539823008849,0.9689583333333335,240,360
SVM (Linear),3,0.8233333333333334,0.9389671361502347,0.8333333333333334,0.8830022075055187,0.9102777777777777,360,240
SVM (Linear),4,0.8666666666666667,0.9672897196261683,0.8625,0.9118942731277533,0.9460416666666668,240,360
SVM (Linear),5,0.8666666666666667,0.9819277108433735,0.8489583333333334,0.9106145251396648,0.9295789930555556,240,240
SVM (RBF),1,0.9,0.96875,0.9041666666666667,0.9353448275862069,0.9527083333333333,360,240
SVM (RBF),2,0.9,1.0,0.875,0.9333333333333333,0.9715277777777778,240,360
SVM (RBF),3,0.8433333333333334,0.9488372093023256,0.85,0.8967032967032967,0.9205555555555556,360,240
SVM (RBF),4,0.86,0.9805825242718447,0.8416666666666667,0.905829596412556,0.9538194444444443,240,360
SVM (RBF),5,0.8708333333333333,0.9653179190751445,0.8697916666666666,0.915068493150685,0.9313151041666667,240,240
Random Forest,1,0.9233333333333333,0.9428571428571428,0.9625,0.9525773195876288,0.9673611111111111,360,240
Random Forest,2,0.9466666666666667,0.9552845528455285,0.9791666666666666,0.9670781893004116,0.9820138888888889,240,360
Random Forest,3,0.9066666666666666,0.9308943089430894,0.9541666666666667,0.9423868312757202,0.9528124999999998,360,240
Random Forest,4,0.9066666666666666,0.9140625,0.975,0.9435483870967742,0.971111111111111,240,360
Random Forest,5,0.925,0.9264705882352942,0.984375,0.9545454545454546,0.9567057291666666,240,240
Gradient Boosting,1,0.93,0.9469387755102041,0.9666666666666667,0.9567010309278351,0.9644444444444444,360,240
Gradient Boosting,2,0.9466666666666667,0.9516129032258065,0.9833333333333333,0.9672131147540983,0.9782638888888888,240,360
Gradient Boosting,3,0.9133333333333333,0.9385245901639344,0.9541666666666667,0.9462809917355371,0.955486111111111,360,240
Gradient Boosting,4,0.91,0.9209486166007905,0.9708333333333333,0.9452332657200812,0.9618749999999999,240,360
Gradient Boosting,5,0.9291666666666667,0.9396984924623115,0.9739583333333334,0.9565217391304348,0.9692925347222222,240,240
XGBoost,1,0.92,0.9576271186440678,0.9416666666666667,0.9495798319327731,0.9690277777777777,360,240
XGBoost,2,0.9433333333333334,0.9665271966527197,0.9625,0.964509394572025,0.9838194444444445,240,360
XGBoost,3,0.8933333333333333,0.9297520661157025,0.9375,0.9336099585062241,0.9479166666666667,360,240
XGBoost,4,0.9333333333333333,0.9545454545454546,0.9625,0.9585062240663901,0.9752777777777778,240,360
XGBoost,5,0.925,0.9438775510204082,0.9635416666666666,0.9536082474226805,0.9632161458333334,240,240
LightGBM,1,0.9066666666666666,0.9453781512605042,0.9375,0.9414225941422594,0.9559027777777777,360,240
LightGBM,2,0.95,0.9707112970711297,0.9666666666666667,0.9686847599164927,0.9838888888888889,240,360
LightGBM,3,0.8966666666666666,0.9230769230769231,0.95,0.9363449691991786,0.9539583333333334,360,240
LightGBM,4,0.93,0.9397590361445783,0.975,0.9570552147239264,0.9735416666666667,240,360
LightGBM,5,0.9,0.9038461538461539,0.9791666666666666,0.94,0.952365451388889,240,240
