Classifier,Features,F1,AUC,F1_mean,AUC_mean
Logistic Regression,All 26,0.9178+/-0.0110,0.9471+/-0.0166,0.9178446870984815,0.9470772569444446
Logistic Regression,Top-10,0.9232+/-0.0180,0.9532+/-0.0154,0.923181345103352,0.9531831597222222
Logistic Regression,Top-5,0.9128+/-0.0199,0.9494+/-0.0134,0.9128100502487733,0.9494392361111113
Logistic Regression,Voice-only (16),0.9174+/-0.0136,0.9472+/-0.0158,0.9174384489347558,0.9472248263888888
Logistic Regression,Text-only (5),0.0000+/-0.0000,0.5000+/-0.0000,0.0,0.5
Logistic Regression,Cross-modal (5),0.8624+/-0.0102,0.8326+/-0.0302,0.8624250385576332,0.8326189236111112
XGBoost,All 26,0.9520+/-0.0117,0.9679+/-0.0135,0.9519627313000185,0.9678515625000002
XGBoost,Top-10,0.9542+/-0.0148,0.9717+/-0.0103,0.9542383036545601,0.9716918402777777
XGBoost,Top-5,0.9410+/-0.0143,0.9565+/-0.0141,0.940999135007052,0.9565286458333334
XGBoost,Voice-only (16),0.9533+/-0.0110,0.9652+/-0.0125,0.9533326432671074,0.9652499999999999
XGBoost,Text-only (5),0.0000+/-0.0000,0.5000+/-0.0000,0.0,0.5
XGBoost,Cross-modal (5),0.9317+/-0.0132,0.9413+/-0.0137,0.9317202417025395,0.9413289930555555
Random Forest,All 26,0.9520+/-0.0100,0.9660+/-0.0117,0.952027236361198,0.9660008680555554
Random Forest,Top-10,0.9529+/-0.0104,0.9723+/-0.0125,0.9529425706984999,0.9722604166666666
Random Forest,Top-5,0.9466+/-0.0155,0.9537+/-0.0157,0.9466339747370311,0.9536710069444444
Random Forest,Voice-only (16),0.9478+/-0.0129,0.9612+/-0.0145,0.9477740352994649,0.9612248263888888
Random Forest,Text-only (5),0.6154+/-0.0000,0.5000+/-0.0000,0.6153846153846154,0.5
Random Forest,Cross-modal (5),0.9334+/-0.0130,0.9244+/-0.0138,0.9333937233330476,0.9244240451388889
